FECHA;DESCRIPCION;CARGOS / DEBE;ABONOS / HABER;CUENTA_ORIGEN
01ENE;Saldo Anterior;0.0;1565.55;Yape
01ENE;Saldo Anterior;0.0;3578.87;Ahorro
01ENE;Pago YAPE de 19170;0.0;25.0;Yape
03ENE;WOW0020240762146;64.9;0.0;Yape
04ENE;Pago YAPE de 19370;0.0;24.0;Yape
04ENE;ABON PLIN-LIDIA EB *;0.0;10.0;Yape
04ENE;Pago YAPE de 19304;0.0;10.0;Yape
04ENE;Pago YAPE de 19403;0.0;10.0;Yape
05ENE;Pago YAPE de 19172;0.0;10.0;Yape
05ENE;CLAR000963438681;5.0;0.0;Yape
06ENE;Pago YAPE a 194967;20.0;0.0;Yape
07ENE;Pago YAPE de 21502;0.0;10.0;Yape
08ENE;Pago YAPE de 19107;0.0;10.0;Yape
09ENE;Pago YAPE de 19302;0.0;10.0;Yape
11ENE;Pago YAPE de 35598;0.0;25.0;Yape
11ENE;ABON PLIN-Luis Alb *;0.0;10.0;Yape
11ENE;Pago YAPE a 191711;28.0;0.0;Yape
11ENE;Pago YAPE de 19303;0.0;24.0;Yape
11ENE;Pago YAPE de 19475;0.0;25.0;Yape
11ENE;Pago YAPE de 19303;0.0;2.0;Yape
12ENE;Pago YAPE de 19100;0.0;25.0;Yape
12ENE;ABON PLIN-Tatiana *;0.0;27.0;Yape
15ENE;Pago YAPE a 194967;20.0;0.0;Yape
15ENE;PLIN-BRANCO ANTONY;10.0;0.0;Yape
16ENE;CLAR000963438681;5.0;0.0;Yape
18ENE;Pago YAPE de 53575;0.0;15.0;Yape
18ENE;Pago YAPE de 19496;0.0;15.0;Yape
19ENE;Pago YAPE de 19490;0.0;25.0;Yape
19ENE;ABON PLIN-WILSON E *;0.0;30.0;Yape
19ENE;Pago YAPE de 19198;0.0;30.0;Yape
19ENE;PLIN-BRANCO ANTONY;10.0;0.0;Yape
19ENE;Pago YAPE de 29594;0.0;30.0;Yape
19ENE;Pago YAPE de 19192;0.0;10.0;Yape
21ENE;Pago YAPE de 19172;0.0;235.0;Yape
22ENE;Pago YAPE de 36599;0.0;25.0;Yape
23ENE;Pago YAPE de 19179;0.0;28.0;Yape
23ENE;Pago YAPE de 31594;0.0;48.0;Yape
24ENE;Pago YAPE de 19137;0.0;10.0;Yape
24ENE;CLAR000963438681;5.0;0.0;Yape
24ENE;ABON PLIN-EDWIN LL *;0.0;40.0;Yape
24ENE;CLAR000991990346;5.0;0.0;Yape
25ENE;YAPE;80.0;0.0;Yape
25ENE;Pago YAPE a 191014;60.0;0.0;Yape
25ENE;Pago YAPE de 19475;0.0;20.0;Yape
25ENE;Pago YAPE de 19304;0.0;20.0;Yape
25ENE;Pago YAPE de 19304;0.0;18.0;Yape
25ENE;Pago YAPE a 194967;20.0;0.0;Yape
26ENE;Pago YAPE de 28002;0.0;10.0;Yape
27ENE;Pago YAPE a 191048;60.0;0.0;Yape
29ENE;Pago YAPE de 19195;0.0;10.0;Yape
29ENE;Pago YAPE de 31502;0.0;40.0;Yape
30ENE;Pago YAPE de 19403;0.0;20.0;Yape
30ENE;ABON PLIN-NATHALY *;0.0;12.0;Yape
30ENE;Pago YAPE de 49579;0.0;15.0;Yape
30ENE;Pago YAPE de 55005;0.0;10.0;Yape
30ENE;CLAR000963438681;5.0;0.0;Yape
31ENE;Pago YAPE de 19495;0.0;10.0;Yape
31ENE;PLIN-Jose Luis Gut;15.0;0.0;Yape
31ENE;Pago YAPE a 193777;15.0;0.0;Yape
31ENE;Pago YAPE de 19400;0.0;10.0;Yape
01FEB;Pago YAPE de 19106;0.0;10.0;Yape
01FEB;Pago YAPE de 19106;0.0;3.0;Yape
01FEB;Pago YAPE de 58502;0.0;30.0;Yape
01FEB;Pago YAPE de 19475;0.0;10.0;Yape
02FEB;WOW0020240762146;64.9;0.0;Yape
02FEB;Pago YAPE de 28574;0.0;10.0;Yape
04FEB;Pago YAPE de 20504;0.0;20.0;Yape
04FEB;Pago YAPE de 19475;0.0;20.0;Yape
06FEB;PLIN-BRANCO ANTONY;10.0;0.0;Yape
07FEB;Pago YAPE de 35573;0.0;10.0;Yape
07FEB;Pago YAPE de 28073;0.0;10.0;Yape
07FEB;Pago YAPE de 37098;0.0;10.0;Yape
07FEB;Pago YAPE de 19192;0.0;36.0;Yape
07FEB;Pago YAPE de 57078;0.0;45.0;Yape
07FEB;CLAR000963438681;5.0;0.0;Yape
07FEB;CLAR000940708423;5.0;0.0;Yape
08FEB;Pago YAPE a 193931;20.0;0.0;Yape
08FEB;Pago YAPE de 19196;0.0;20.0;Yape
08FEB;Pago YAPE de 19139;0.0;10.0;Yape
08FEB;ABON PLIN-WILSON N *;0.0;25.0;Yape
08FEB;Pago YAPE a 191992;33.0;0.0;Yape
08FEB;Pago YAPE a 193922;23.0;0.0;Yape
08FEB;Pago YAPE de 19479;0.0;116.0;Yape
08FEB;Pago YAPE de 33592;0.0;24.0;Yape
08FEB;Pago YAPE a 193922;2.0;0.0;Yape
09FEB;Pago YAPE de 21504;0.0;30.0;Yape
11FEB;Pago YAPE de 19103;0.0;15.0;Yape
11FEB;Pago YAPE de 22004;0.0;16.0;Yape
11FEB;RETIRO EFECTIVO;500.0;0.0;Ahorro
11FEB;Pago YAPE de 19195;0.0;18.0;Yape
11FEB;Pago YAPE de 19138;0.0;10.0;Yape
12FEB;Pago YAPE de 19479;0.0;300.0;Yape
13FEB;Pago YAPE a 191992;33.0;0.0;Yape
14FEB;Pago YAPE de 51378;0.0;24.0;Yape
14FEB;Pago YAPE de 19131;0.0;20.0;Yape
14FEB;Pago YAPE a 194967;30.0;0.0;Yape
15FEB;Pago YAPE de 19378;0.0;15.0;Yape
15FEB;CLAR000963438681;5.0;0.0;Yape
16FEB;Pago YAPE a 193922;4.5;0.0;Yape
16FEB;Pago YAPE de 35594;0.0;48.0;Yape
18FEB;Pago YAPE de 19194;0.0;46.0;Yape
18FEB;ABON PLIN-BENJAMIN *;0.0;100.0;Yape
18FEB;Pago YAPE de 19321;0.0;20.0;Yape
18FEB;Pago YAPE de 19495;0.0;15.0;Yape
19FEB;Pago YAPE de 19375;0.0;28.0;Yape
19FEB;ABON PLIN-Roxana D *;0.0;15.0;Yape
19FEB;Pago YAPE de 19194;0.0;24.0;Yape
20FEB;CLAR000963438681;5.0;0.0;Yape
20FEB;TRAN.CEL.BM.;0.0;52.0;Yape
20FEB;Pago YAPE a 570922;200.0;0.0;Yape
20FEB;Pago YAPE de 19239;0.0;30.0;Yape
20FEB;Pago YAPE de 19405;0.0;15.0;Yape
20FEB;Pago YAPE de 19405;0.0;35.0;Yape
21FEB;Pago YAPE a 570922;200.0;0.0;Yape
21FEB;Pago YAPE a 191972;228.0;0.0;Yape
21FEB;Pago YAPE de 19170;0.0;30.0;Yape
22FEB;Pago YAPE de 19195;0.0;15.0;Yape
22FEB;Pago YAPE a 194010;110.0;0.0;Yape
23FEB;Giro/Retiro de efe;20.0;0.0;Yape
23FEB;Pago YAPE de 19192;0.0;30.0;Yape
23FEB;ABON PLIN-MILAGROS *;0.0;25.0;Yape
23FEB;Pago YAPE de 19491;0.0;20.0;Yape
23FEB;Pago YAPE de 19399;0.0;25.0;Yape
25FEB;Pago YAPE a 194967;10.0;0.0;Yape
26FEB;Pago YAPE a 191004;200.0;0.0;Yape
26FEB;CLAR000991990346;5.0;0.0;Yape
26FEB;Pago YAPE de 19478;0.0;25.0;Yape
26FEB;CLAR000963438681;6.0;0.0;Yape
27FEB;Pago YAPE a 194967;20.0;0.0;Yape
28FEB;Pago YAPE de 57578;0.0;60.0;Yape
28FEB;Pago YAPE de 19394;0.0;25.0;Yape
01MAR;Pago YAPE de 19398;0.0;30.0;Yape
01MAR;CLAR000963438681;5.0;0.0;Yape
01MAR;Pago YAPE de 25536;0.0;18.0;Yape
02MAR;Pago YAPE de 19301;0.0;30.0;Yape
02MAR;Pago YAPE de 19179;0.0;25.0;Yape
02MAR;WOW0020240762146;64.9;0.0;Yape
03MAR;UNIV000075432353;55.0;0.0;Yape
04MAR;Pago YAPE de 55074;0.0;27.0;Yape
04MAR;Pago YAPE de 19197;0.0;17.0;Yape
04MAR;Pago YAPE de 44098;0.0;30.0;Yape
04MAR;TRAN.CEL.BM.;0.0;15.0;Yape
05MAR;PLIN-Jose Luis Gut;15.0;0.0;Yape
